range,vehicle_KW,average_range,average_KW
295,114.06204500000001,219.82471264367817,75.61470195977012
310,80.22148999999999,219.82471264367817,75.61470195977012
249,85.28225099999999,219.82471264367817,75.61470195977012
259,84.479066,219.82471264367817,75.61470195977012
335,111.2066,219.82471264367817,75.61470195977012
315,108.86715,219.82471264367817,75.61470195977012
238,86.22739999999999,219.82471264367817,75.61470195977012
295,114.06204500000001,219.82471264367817,75.61470195977012
289,114.27435700000001,219.82471264367817,75.61470195977012
114,32.644128,219.82471264367817,75.61470195977012
107,32.069291,219.82471264367817,75.61470195977012
151,45.301661,219.82471264367817,75.61470195977012
